batch_id,date,room_id,sequence_order,product_id,product_name,declared_allergens,carryover_allergens_active,sequence_status,requires_intermediate_cleaning,start_time,end_time,nightly_cleaning_ref
BAT-5001,2026-09-01,LINEA_ENVASADO_01,1,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,CACAHUETE",VALID_START,False,2026-09-01 06:00:00,2026-09-01 09:00:00,CLN-1001
BAT-5002,2026-09-01,LINEA_ENVASADO_01,2,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-01 09:20:00,2026-09-01 13:20:00,CLN-1001
BAT-5003,2026-09-01,LINEA_ENVASADO_01,3,PROD_01,Galleta María Tradicional,GLUTEN,"SOJA,GLUTEN,AVELLANA,LECHE,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-01 13:40:00,2026-09-01 17:40:00,CLN-1001
BAT-5004,2026-09-01,LINEA_ENVASADO_02,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-01 06:00:00,2026-09-01 10:00:00,CLN-1002
BAT-5005,2026-09-01,LINEA_ENVASADO_02,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-01 10:20:00,2026-09-01 13:20:00,CLN-1002
BAT-5006,2026-09-01,LINEA_ENVASADO_02,3,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-01 13:40:00,2026-09-01 16:40:00,CLN-1002
BAT-5007,2026-09-01,LINEA_ENVASADO_02,4,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-01 17:00:00,2026-09-01 20:00:00,CLN-1002
BAT-5008,2026-09-01,LINEA_HORNO_01,1,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_START,False,2026-09-01 06:00:00,2026-09-01 10:00:00,CLN-1003
BAT-5009,2026-09-01,LINEA_HORNO_01,2,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-01 10:20:00,2026-09-01 14:20:00,CLN-1003
BAT-5010,2026-09-01,LINEA_HORNO_01,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-01 14:40:00,2026-09-01 17:40:00,CLN-1003
BAT-5011,2026-09-01,LINEA_EMPAQUE_SECONDARY,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-01 06:00:00,2026-09-01 10:00:00,CLN-1004
BAT-5012,2026-09-01,LINEA_EMPAQUE_SECONDARY,2,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,CACAHUETE",VALID_SEQUENCE,False,2026-09-01 10:20:00,2026-09-01 15:20:00,CLN-1004
BAT-5013,2026-09-01,LINEA_EMPAQUE_SECONDARY,3,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","SOJA,GLUTEN,HUEVO,LECHE,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-01 15:40:00,2026-09-01 19:40:00,CLN-1004
BAT-5014,2026-09-02,LINEA_ENVASADO_01,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-02 06:00:00,2026-09-02 09:00:00,CLN-1005
BAT-5015,2026-09-02,LINEA_ENVASADO_01,2,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_SEQUENCE,False,2026-09-02 09:20:00,2026-09-02 13:20:00,CLN-1005
BAT-5016,2026-09-02,LINEA_ENVASADO_01,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-02 13:40:00,2026-09-02 16:40:00,CLN-1005
BAT-5017,2026-09-02,LINEA_ENVASADO_02,1,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_START,False,2026-09-02 06:00:00,2026-09-02 10:00:00,CLN-1006
BAT-5018,2026-09-02,LINEA_ENVASADO_02,2,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-02 10:20:00,2026-09-02 13:20:00,CLN-1006
BAT-5019,2026-09-02,LINEA_ENVASADO_02,3,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-02 13:40:00,2026-09-02 16:40:00,CLN-1006
BAT-5020,2026-09-02,LINEA_HORNO_01,1,PROD_01,Galleta María Tradicional,GLUTEN,GLUTEN,VALID_START,False,2026-09-02 06:00:00,2026-09-02 11:00:00,CLN-1007
BAT-5021,2026-09-02,LINEA_HORNO_01,2,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,CACAHUETE",VALID_SEQUENCE,False,2026-09-02 11:20:00,2026-09-02 16:20:00,CLN-1007
BAT-5022,2026-09-02,LINEA_HORNO_01,3,PROD_04,Galleta Supreme Avellana,"GLUTEN,LECHE,SOJA,AVELLANA","SOJA,GLUTEN,AVELLANA,LECHE,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-02 16:40:00,2026-09-02 20:40:00,CLN-1007
BAT-5023,2026-09-02,LINEA_EMPAQUE_SECONDARY,1,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_START,False,2026-09-02 06:00:00,2026-09-02 10:00:00,CLN-1008
BAT-5024,2026-09-02,LINEA_EMPAQUE_SECONDARY,2,PROD_05,Barrita Cacahuete Max,"GLUTEN,CACAHUETE,SOJA","SOJA,GLUTEN,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-02 10:20:00,2026-09-02 15:20:00,CLN-1008
BAT-5025,2026-09-02,LINEA_EMPAQUE_SECONDARY,3,PROD_03,Galleta Chocolate Leche,"GLUTEN,LECHE,SOJA","SOJA,GLUTEN,LECHE,SÉSAMO,CACAHUETE",INVALID_SEQUENCE_RISK,True,2026-09-02 15:40:00,2026-09-02 18:40:00,CLN-1008
BAT-5026,2026-09-03,LINEA_ENVASADO_01,1,PROD_02,Galleta Integrale Avena,"GLUTEN,SÉSAMO","GLUTEN,SÉSAMO",VALID_START,False,2026-09-03 06:00:00,2026-09-03 11:00:00,CLN-1009
BAT-5027,2026-09-03,LINEA_ENVASADO_01,2,PROD_06,Galleta Rellena Huevo & Leche,"GLUTEN,LECHE,HUEVO","GLUTEN,LECHE,HUEVO,SÉSAMO",INVALID_SEQUENCE_RISK,True,2026-09-03 11:20:00,2026-09-03 14:20:00,CLN-1009
